date,country,series,value
1995-05-31,FR,CONS,-2.1
1995-05-31,FR,RETA,-2
1995-05-31,FR,BUIL,-31.3
1995-05-31,FR,ESI,108
1995-05-31,FR,EEI,101.5
1995-05-31,IT,INDU,9.5
1995-05-31,IT,CONS,-7
1995-05-31,IT,RETA,-54.6
1995-05-31,IT,BUIL,-32.6
1995-05-31,IT,ESI,108.2
1995-05-31,LV,INDU,-18.3
1995-05-31,LV,BUIL,-38.3
1995-05-31,LV,ESI,73.9
1995-05-31,LT,INDU,-9.6
1995-05-31,LT,RETA,-8.5
1995-05-31,LT,BUIL,-50.1
1995-05-31,LT,ESI,95.2
1995-05-31,LU,INDU,20.1
1995-05-31,LU,BUIL,-46.2
1995-05-31,LU,ESI,122.3
1995-05-31,HU,CONS,-54.3
1995-05-31,NL,INDU,0.3
1995-05-31,NL,CONS,0.6
1995-05-31,NL,RETA,10.9
1995-05-31,NL,BUIL,-6.9
1995-05-31,NL,ESI,104.4
1995-05-31,NL,EEI,101.2
1995-05-31,AT,INDU,-3.1
1995-05-31,AT,ESI,98.8
1995-05-31,PL,RETA,1
1995-05-31,PL,ESI,138
1995-05-31,PT,INDU,-4.2
1995-05-31,PT,CONS,-16.5
1995-05-31,PT,RETA,4.4
1995-05-31,PT,BUIL,-31.6
1995-05-31,PT,ESI,102.4
1995-05-31,RO,INDU,15.1
1995-05-31,RO,RETA,27.6
1995-05-31,RO,BUIL,20.1
1995-05-31,RO,ESI,120
1995-05-31,SI,INDU,-0.3
1995-05-31,SI,ESI,94.6
1995-05-31,SK,INDU,-4.1
1995-05-31,SK,RETA,-3.8
1995-05-31,SK,BUIL,-30.4
1995-05-31,SK,ESI,90.6
1995-05-31,FI,INDU,20.4
1995-05-31,FI,BUIL,-35.6
1995-05-31,FI,ESI,110.3
1995-05-31,SE,BUIL,-41.8
1995-05-31,SE,ESI,101.9
1995-05-31,UK,INDU,9.4
1995-05-31,UK,CONS,-15.8
1995-05-31,UK,RETA,-4.2
1995-05-31,UK,BUIL,-34.7
1995-05-31,UK,ESI,104.6
1995-06-30,EU,INDU,-1.2
1995-06-30,EU,SERV,20.4
1995-06-30,EU,CONS,-7.7
1995-06-30,EU,RETA,-18.2
1995-06-30,EU,BUIL,-29.7
1995-06-30,EU,ESI,104.3
1995-06-30,EA,INDU,-1.9
1995-06-30,EA,SERV,21
1995-06-30,EA,CONS,-7.5
1995-06-30,EA,RETA,-19.7
1995-06-30,EA,BUIL,-30.6
1995-06-30,EA,ESI,104.6
1995-06-30,BE,INDU,-12.2
1995-06-30,BE,SERV,17.8
1995-06-30,BE,CONS,-7.3
1995-06-30,BE,RETA,-9.1
1995-06-30,BE,BUIL,-27.5
1995-06-30,BE,ESI,97.9
1995-06-30,BE,EEI,93.9
1995-06-30,BG,INDU,-5.5
1995-06-30,BG,RETA,22.6
1995-06-30,BG,BUIL,-25.7
1995-06-30,BG,ESI,95.7
1995-06-30,CZ,INDU,-4.1
1995-06-30,CZ,CONS,-12.7
1995-06-30,CZ,RETA,8.8
1995-06-30,CZ,BUIL,-8.7
1995-06-30,CZ,ESI,82.4
1995-06-30,DK,INDU,-3.2
1995-06-30,DK,CONS,4.3
1995-06-30,DK,BUIL,0.1
1995-06-30,DK,ESI,104.3
1995-06-30,DE,INDU,-6.9
1995-06-30,DE,SERV,31.8
1995-06-30,DE,CONS,-7.8
1995-06-30,DE,RETA,-25.1
1995-06-30,DE,BUIL,-40
1995-06-30,DE,ESI,103.4
1995-06-30,EE,INDU,8.9
1995-06-30,EE,CONS,-8.7
1995-06-30,EE,RETA,8.2
1995-06-30,EE,BUIL,-2.2
1995-06-30,EE,ESI,100.4
1995-06-30,IE,INDU,22.8
1995-06-30,IE,CONS,1.8
1995-06-30,IE,BUIL,-2.2
1995-06-30,IE,ESI,108.2
1995-06-30,EL,INDU,4.8
1995-06-30,EL,CONS,-27.2
1995-06-30,EL,RETA,-23.5
1995-06-30,EL,BUIL,-44.9
1995-06-30,EL,ESI,106.1
1995-06-30,ES,INDU,-8.8
1995-06-30,ES,CONS,-15.7
1995-06-30,ES,RETA,-15.7
1995-06-30,ES,BUIL,-2.4
1995-06-30,ES,ESI,94.8
1995-06-30,FR,INDU,-4.3
1995-06-30,FR,SERV,2.6
1995-06-30,FR,CONS,-1.6
1995-06-30,FR,RETA,-4.7
1995-06-30,FR,BUIL,-32.2
1995-06-30,FR,ESI,104.6
1995-06-30,FR,EEI,99.9
1995-06-30,IT,INDU,9.7
